,Index,header,NumberofInstances,Area,NumberofAttributes,DateDonated,MissingValues,NumberofWebHits,multivariate_data,time_series_data,data_generator_data,domain_theory_data,image_data,relational_data,sequential_data,spatial_data,univariate_data,spatio_temporal_data,text_data,transactional_data,num_data_characteristics,categorical_attributes,real_attributes,integer_attributes,no_listed_attributes,num_attribute_characteristics,causal_discover_task,classification_task,regression_task,function_learning_task,reccomendation_task,description_task,relational_learning_task,no_given_task,clustering_task,num_associated_tasks,source_institution_places,year_donated,year_month_donated,DatasetAge,DatapointCount,data_ext_url,small,dataset_URL,data_folder,shortname,dataset_count,max_size,sum_sizes,Percent of Summed File Sizes in Bytes,Percent of Summed Row Counts,Percent of Summed Datapoint Counts
10,450,Activity Recognition system based on Multisensor data fusion (AReM) Data Set,42240,Computer,6,5/18/2016,No,62222,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Pisa', 'Pisa', 'Italy', 'ITA']]",2016,16-May,4,253440.0,"[['AReM.zip', '511K']]",0,Activity+Recognition+system+based+on+Multisensor+data+fusion+%28AReM%29,/00366/,00366,1,511000,511000,4.935571525430317e-06,0.00013044704746696293,5.379031630341863e-09
11,243,Activity recognition with healthy older people using a batteryless wearable sensor Data Set,75128,Life,9,12/12/2016,No,34214,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Adelaide University', 'Adelaide', 'Australia', 'AUS']]",2016,16-Dec,4,676152.0,"[['Datasets_Healthy_Older_People.zip', '639K']]",0,Activity+recognition+with+healthy+older+people+using+a+batteryless+wearable+sensor,/00427/,00427,1,639000,639000,6.171879069960808e-06,0.00023201292097769865,1.435070626151717e-08
12,202,Acute Inflammations Data Set,120,Life,6,2/11/2009,No,175129,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['Polish Academy of Sciences', 'Warszawa', 'Poland', 'POL']]",2009,9-Feb,11,720.0,"[['diagnosis.data', '7K'], ['diagnosis.names', '4K']]",1,Acute+Inflammations,/acute/,acute,1,7000,11000,6.76105688415112e-08,3.705882030311447e-07,1.5281339858925748e-11
13,498,Adult Data Set,48842,Social,14,5/1/1996,Yes,1880062,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,2,,1996,May-96,24,683788.0,"[['Index', '140B'], ['adult.data', '3M'], ['adult.names', '5K'], ['adult.test', '1M'], ['old.adult.names', '4K']]",0,Adult,/adult/,adult,1,3000000,4009140,2.897595807493337e-05,0.0001508355751037264,1.4512773360354333e-08
14,30,Air Quality Data Set,9358,Computer,15,3/23/2016,Yes,437733,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['Italian National Agency for New Technologies, Energy and Sustainable Economic Development', 'Rome', 'Italy', 'ITA']]",2016,16-Mar,4,140370.0,"[['AirQualityUCI.zip', '1M']]",0,Air+quality,/00360/,airquality,1,1000000,1000000,9.658652691644457e-06,2.8899703366378767e-05,2.979224549996399e-09
15,71,Airfoil Self-Noise Data Set,1503,Physical,6,3/4/2014,No,130841,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['NASA', 'Washington, DC', 'United States', 'USA'], ['Intelnics', 'Salamanca', 'Spain', 'ESP']]",2014,14-Mar,6,9018.0,"[['airfoil_self_noise.dat', '58K']]",0,Airfoil+Self-Noise,/00291/,00291,1,58000,58000,5.602018561153785e-07,4.641617242965087e-06,1.91398781733045e-10
16,70,Alcohol QCM Sensor Dataset Data Set,125,Computer,8,7/22/2019,No,44320,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,"[['Sakarya University', 'Sakarya', 'Turkey', 'TUR'], ['University of Vienna', 'Vienna', 'Austria', 'AUT']]",2019,19-Jul,1,1000.0,"[['QCM%20Sensor%20Alcohol%20Dataset.zip', '5K']]",0,Alcohol+QCM+Sensor+Dataset,/00496/,00496,1,5000,5000,4.829326345822228e-08,3.860293781574424e-07,2.122408313739687e-11
17,475,Amazon Access Samples Data Set,30000,Business,20000,9/13/2011,No,205596,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,"[['University of California, Berkeley', 'Berkeley, CA', 'United States', 'USA']]",2011,11-Sep,9,600000000.0,"[['amzn-anon-access-samples.tgz', '11M']]",0,Amazon+Access+Samples,/00216/,00216,1,11000000,11000000,0.00010624517960808902,9.264705075778617e-05,1.2734449882438123e-05
18,169,Amazon Commerce reviews set Data Set,1500,Physical,10000,6/11/2011,No,198876,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['National Engineering Research Center for E-Learning', 'Wuhan', 'China', 'CHN']]",2011,11-Jun,9,15000000.0,"[['Amazon_initial_50_30_10000.rar', '2M']]",0,Amazon+Commerce+reviews+set,/00215/,00215,1,2000000,2000000,1.9317305383288913e-05,4.632352537889308e-06,3.183612470609531e-07
19,445,Anonymous Microsoft Web Data Data Set,37711,Computer,294,11/1/1998,No,180504,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"[['Microsoft Research', 'Redmond, WA', 'United States', 'USA']]",1998,Nov-98,22,11087034.0,"[['anonymous-msweb.data', '1M'], ['anonymous-msweb.info', '3K'], ['anonymous-msweb.test', '223K']]",0,Anonymous+Microsoft+Web+Data,/anonymous/,anonymous,1,1000000,1226000,9.658652691644457e-06,0.00011646043103756247,2.353121313631458e-07
20,415,Anuran Calls (MFCCs) Data Set,7195,Life,22,2/24/2017,No,47396,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,"[['Universidade Federal do Amazonas', 'Manaus', 'Brazil', 'BRA']]",2017,17-Feb,3,158290.0,"[['Anuran%20Calls%20(MFCCs).zip', '1M']]",0,Anuran+Calls+%28MFCCs%29,/00406/,00406,1,1000000,1000000,9.658652691644457e-06,2.2219851006742382e-05,3.359560119818551e-09
21,469,Appliances energy prediction Data Set,19735,Computer,29,2/15/2017,No,121897,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['University of Mons', 'Mons', 'Belgium', 'BEL']]",2017,17-Feb,3,572315.0,"[['energydata_complete.csv', '11M']]",0,Appliances+energy+prediction,/00374/,00374,1,11000000,11000000,0.00010624517960808902,6.0946318223497e-05,1.2146861140779291e-08
22,427,APS Failure at Scania Trucks Data Set,60000,Computer,171,12/8/2017,Yes,55762,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['Stockholm University', 'Stockholm', 'Sweden', 'SWE']]",2017,17-Dec,3,10260000.0,"[['aps_failure_description.txt', '4K'], ['aps_failure_test_set.csv', '11M'], ['aps_failure_training_set.csv', '42M']]",0,APS+Failure+at+Scania+Trucks,/00421/,00421,1,42000000,53004000,0.0004056634130490672,0.00018529410151557233,2.177590929896919e-07
23,200,Arcene Data Set,900,Life,10000,2/29/2008,No,133134,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of California, Berkeley', 'Berkeley, CA', 'United States', 'USA']]",2008,8-Feb,12,9000000.0,"[['Dataset.pdf', '442K'], ['arcene_valid.labels', '256B']]",0,Arcene,/arcene/,arcene,1,442000,442256,4.2691244897068496e-06,2.7794115227335853e-06,1.9101674823657186e-07
24,78,Arrhythmia Data Set,452,Life,279,1/1/1998,Yes,315309,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,1,0,0,0,0,0,0,0,3,"[['Bilkent University', 'Ankara', 'Turkey', 'TUR'], ['Baskent University', 'Ankara', 'Turkey', 'TUR']]",1998,Jan-98,22,126108.0,"[['arrhythmia.data', '392K'], ['arrhythmia.names', '6K']]",1,Arrhythmia,/arrhythmia/,arrhythmia,1,392000,398000,3.786191855124627e-06,1.3958822314173116e-06,2.676526676290845e-09
25,320,Artificial Characters Data Set,6000,Computer,7,7/1/1992,No,245703,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,1,0,0,0,0,0,0,0,3,"[['Bilkent University', 'Ankara', 'Turkey', 'TUR'], ['Baskent University', 'Ankara', 'Turkey', 'TUR']]",1992,Jul-92,28,42000.0,"[['Index', '200B'], ['character.names', '3K'], ['character.tar.Z', '779K'], ['convert.cc', '11K'], ['domain_theory', '4K']]",0,Artificial+Characters,/artificial-characters/,artificial-characters,1,779000,797200,7.524090446791031e-06,1.8529410151557233e-05,8.914114917706687e-10
26,160,Audiology (Original) Data Set,226,Life,0,12/3/1987,Yes,110441,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Texas', 'Austin, TX', 'United States', 'USA']]",1987,Dec-87,33,0.0,"[['Index', '304B'], ['audiology.data', '32K'], ['audiology.names', '1K'], ['audiology.standardized.data', '37K'], ['audiology.standardized.names', '6K'], ['audiology.standardized.test', '5K'], ['audiology.test', '4K']]",1,Audiology+%28Original%29,/audiology/,audiology-og,1,37000,85304,3.5737014959084486e-07,6.979411157086558e-07,0.0
27,273,Audiology (Standardized) Data Set,226,Life,69,8/18/1992,Yes,105605,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Texas', 'Austin, TX', 'United States', 'USA']]",1992,Aug-92,28,15594.0,"[['Index', '304B'], ['audiology.data', '32K'], ['audiology.names', '1K'], ['audiology.standardized.data', '37K'], ['audiology.standardized.names', '6K'], ['audiology.standardized.test', '5K'], ['audiology.test', '4K']]",1,Audiology+%28Standardized%29,/audiology/,audiology-stand,1,37000,85304,3.5737014959084486e-07,6.979411157086558e-07,3.3096835244456685e-10
28,95,Audit Data Data Set,777,Other,18,7/14/2018,Yes,38552,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['TIET - Thapar Institute of Engineering And Technology', 'Patiala', 'India', 'IND']]",2018,18-Jul,2,13986.0,"[['audit_data.zip', '27K']]",0,Audit+Data,/00475/,00475,1,27000,27000,2.607836226744003e-07,2.399558614626662e-06,2.9684002675963266e-10
29,118,Australian Sign Language signs (High Quality) Data Set,2565,Other,22,2/26/2002,No,112305,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Sydney', 'Sydney', 'Australia', 'AUS'], ['University of New South Wales', 'Sydney', 'Australia', 'AUS']]",2002,2-Feb,18,56430.0,"[['auslan.data.html', '8K'], ['auslan.html', '1K'], ['tctodd.tar.bz2', '5M'], ['tctodd.tar.gz', '7M']]",0,Australian+Sign+Language+signs+%28High+Quality%29,/auslan2-mld/,auslan2-mld,1,7000000,12009000,6.761056884151119e-05,7.921322839790717e-06,1.1976750114433055e-09
30,37,Australian Sign Language signs Data Set,6650,Other,15,4/20/1999,No,100030,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,2,"[['University of Sydney', 'Sydney', 'Australia', 'AUS'], ['University of New South Wales', 'Sydney', 'Australia', 'AUS']]",1999,Apr-99,21,99750.0,"[['allsigns.tar.gz', '2M'], ['auslan.data.html', '9K'], ['auslan.html', '904B']]",0,Australian+Sign+Language+signs,/auslan-mld/,auslan-mld,1,2000000,2009904,1.9317305383288913e-05,2.0536762917975933e-05,2.117102292955338e-09
31,232,Autism Screening Adult Data Set,704,Social,21,12/24/2017,Yes,59277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['Manukau Institute of Technology', 'Auckland', 'New Zealand', 'NZL']]",2017,17-Dec,3,14784.0,"[['Autism-Adult-Data%20Plus%20Description%20File.zip', '43K']]",0,Autism+Screening+Adult,/00426/,00426,1,43000,43000,4.153220657407116e-07,2.1741174577827154e-06,3.1377684510327534e-10
32,310,Autistic Spectrum Disorder Screening Data for Adolescent    Data Set,104,Life,21,12/24/2017,Yes,30147,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,,2017,17-Dec,3,2184.0,"[['Autism-Adolescent-Data%20Plus%20Description.zip', '37K']]",0,Autistic+Spectrum+Disorder+Screening+Data+for+Adolescent+++,/00420/,00420,1,37000,37000,3.5737014959084486e-07,3.2117644262699203e-07,4.635339757207477e-11
33,453,Autistic Spectrum Disorder Screening Data for Children   Data Set,292,Life,21,12/24/2017,Yes,43408,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['Manukau Institute of Technology', 'Auckland', 'New Zealand', 'NZL']]",2017,17-Dec,3,6132.0,"[['Autism-Screening-Child-Data%20Plus%20Description.zip', '39K']]",0,Autistic+Spectrum+Disorder+Screening+Data+for+Children++,/00419/,00419,1,39000,39000,3.766874549741338e-07,9.017646273757854e-07,1.3014607779851763e-10
34,466,Auto MPG Data Set,398,Other,8,7/7/1993,Yes,562317,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,2,"[['Carnegie-Mellon University', 'Pittsburgh, PA', 'United States', 'USA']]",1993,Jul-93,27,3184.0,"[['Index', '161B'], ['auto-mpg.data', '29K'], ['auto-mpg.data-original', '31K'], ['auto-mpg.names', '1K']]",1,Auto+MPG,/auto-mpg/,auto-mpg,1,31000,61161,2.994182334409781e-07,1.2291175400532965e-06,6.757748070947164e-11
35,490,Automobile Data Set,205,Other,26,5/19/1987,Yes,524634,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,0,1,0,0,0,0,0,0,3,"[['Carnegie-Mellon University', 'Pittsburgh, PA', 'United States', 'USA']]",1987,May-87,33,5330.0,"[['Index', '144B'], ['imports-85.data', '25K'], ['imports-85.names', '4K'], ['misc', '3K']]",1,Automobile,/autos/,autos,1,25000,32144,2.414663172911114e-07,6.330881801782055e-07,1.1312436312232533e-10
36,44,AutoUniv Data Set,0,Other,0,11/3/2010,No,58967,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,1,0,0,0,0,0,0,0,3,"[['Ulster University', 'Belfast', 'Ireland', 'IRL']]",2010,10-Nov,10,0.0,"[['AU.zip', '7M'], ['AutoUniv%20User%20Guide.pdf', '14K']]",0,AutoUniv,/00197/,00197,1,7000000,7014000,6.761056884151119e-05,0.0,0.0
37,149,Avila Data Set,20867,Computer,10,6/20/2018,No,31304,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Cassino and Southern Lazio', 'Cassino', 'Italy', 'ITA']]",2018,18-Jun,2,208670.0,"[['avila.zip', '570K']]",0,Avila,/00459/,00459,1,570000,570000,5.50543203423734e-06,6.44422002720908e-05,4.428829428280605e-09
38,180,Bach Choral Harmony Data Set,5665,Other,17,5/20/2014,No,49594,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,"[['Universita di Torino', 'Turin', 'Italy', 'ITA']]",2014,14-May,6,96305.0,"[['jsbach_chorals_harmony.zip', '41K']]",0,Bach+Choral+Harmony,/00298/,00298,1,41000,41000,3.960047603574227e-07,1.7494851418095287e-05,2.043985326547006e-09
39,436,Badges Data Set,294,Other,1,9/1/1994,No,116715,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,"[['Rutgers University', 'New Brunswick, NJ', 'United States', 'USA']]",1994,Sep-94,26,294.0,"[['Index', '110B'], ['badges.data', '4K'], ['badges.info', '1K']]",1,Badges,/badges/,badges,1,4000,5110,3.8634610766577823e-08,9.079410974263045e-07,6.239880442394681e-12
40,141,Bag of Words Data Set,8000000,Other,100000,3/12/2008,No,311733,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,"[['University of California, Irvine', 'Irvine, CA', 'United States', 'USA']]",2008,8-Mar,12,800000000000.0,"[['docword.enron.txt.gz', '11M'], ['docword.kos.txt.gz', '1M'], ['docword.nips.txt.gz', '2M'], ['docword.nytimes.txt.gz', '223M'], ['docword.pubmed.txt.gz', '1G'], ['readme.txt', '2K'], ['vocab.enron.txt', '230K'], ['vocab.kos.txt', '54K'], ['vocab.nips.txt', '98K'], ['vocab.nytimes.txt', '1M'], ['vocab.pubmed.txt', '1M']]",0,Bag+of+Words,/bag-of-words/,bag-of-words,1,1000000000,1239384000,0.009658652691644455,0.024705880202076314,0.016979266509917497
41,275,Balance Scale Data Set,625,Social,4,4/22/1994,No,255105,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of California, Irvine', 'Irvine, CA', 'United States', 'USA']]",1994,Apr-94,26,2500.0,"[['Index', '132B'], ['balance-scale.data', '6K'], ['balance-scale.names', '2K']]",1,Balance+Scale,/balance-scale/,balance-scale,1,6000,8132,5.795191614986674e-08,1.9301468907872117e-06,5.306020784349218e-11
42,260,Bank Marketing Data Set,45211,Business,17,2/14/2012,No,1238325,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,,2012,12-Feb,8,768587.0,"[['bank-additional.zip', '434K'], ['bank.zip', '565K']]",0,Bank+Marketing,/00222/,00222,1,565000,999000,5.4571387707791175e-06,0.00013962219372700902,1.631255438632245e-08
43,190,banknote authentication Data Set,1372,Computer,5,4/16/2013,No,252153,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Applied Sciences, Ostwestfalen-Lippe', 'Lemgo', 'Germany', 'DEU']]",2013,13-Apr,7,6860.0,"[['data_banknote_authentication.txt', '45K']]",1,banknote+authentication,/00267/,00267,1,45000,45000,4.346393711240005e-07,4.237058454656087e-06,1.4559721032254253e-10
44,369,Bar Crawl: Detecting Heavy Drinking Data Set,14057567,Life,3,2/24/2020,No,48361,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,"[['Harvard University', 'Boston, MA', 'United States', 'USA'], ['University of Southern California', 'Los Angeles, CA', 'United States', 'USA']]",2020,20-Feb,0,42172701.0,"[['Readme.txt', '4K'], ['data.zip', '152M']]",0,Bar+Crawl%3A+Detecting+Heavy+Drinking,/00515/,00515,1,152000000,152004000,0.0014681152091299574,0.04341307077933266,8.950769121525802e-07
45,236,BAUM-1 Data Set,1184,Computer,0,11/9/2018,No,15585,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,,2018,18-Nov,2,0.0,"[['readMe.docx', '14K']]",0,BAUM-1,/00473/,00473,1,14000,14000,1.352211376830224e-07,3.6564702699072944e-06,0.0
46,100,BAUM-2 Data Set,1047,Computer,0,11/9/2018,No,10518,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,,2018,18-Nov,2,0.0,"[['readMe.txt', '4K']]",1,BAUM-2,/00474/,00474,1,4000,4000,3.8634610766577823e-08,3.233382071446737e-06,0.0
47,220,Behavior of the urban traffic of the city of Sao Paulo in Brazil Data Set,135,Computer,18,12/12/2018,No,46554,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,1,0,0,0,0,0,0,2,"[['Universidade Nove de Julho', 'Sao Paulo', 'Brazil', 'BRA']]",2018,18-Dec,2,2430.0,"[['Behavior%20of%20the%20urban%20traffic%20of%20the%20city%20of%20Sao%20Paulo%20in%20Brazil.zip', '623K']]",0,Behavior+of+the+urban+traffic+of+the+city+of+Sao+Paulo+in+Brazil,/00483/,00483,1,623000,623000,6.017340626894496e-06,4.1691172841003776e-07,5.15745220238744e-11
48,381,Beijing Multi-Site Air-Quality Data Data Set,420768,Physical,18,9/20/2019,Yes,42181,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,"[['Peking University', 'Beijing', 'China', 'CHN']]",2019,19-Sep,1,7573824.0,"[['PRSA2017_Data_20130301-20170228.zip', '7M']]",0,Beijing+Multi-Site+Air-Quality+Data,/00501/,00501,1,7000000,7000000,6.761056884151119e-05,0.0012994304751084056,1.6074747024401173e-07
49,382,Beijing PM2.5 Data Data Set,43824,Physical,13,1/19/2017,Yes,174548,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,"[['Peking University', 'Beijing', 'China', 'CHN']]",2017,17-Jan,3,569712.0,"[['PRSA_data_2010.1.1-2014.12.31.csv', '1M']]",0,Beijing+PM2.5+Data,/00381/,00381,1,1000000,1000000,9.658652691644457e-06,0.00013533881174697404,1.2091614852372647e-08
50,130,Bias correction of numerical prediction model temperature forecast Data Set,7750,Physical,25,2/18/2020,Yes,14124,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['Ulsan National Institute of Science and Technology (UNIST)', 'Ulsan', 'Korea, South', 'KOR']]",2020,20-Feb,0,193750.0,"[['Bias_correction_ucl.csv', '1M']]",0,Bias+correction+of+numerical+prediction+model+temperature+forecast,/00514/,00514,1,1000000,1000000,9.658652691644457e-06,2.3933821445761428e-05,4.112166107870644e-09
